2.42	2.51	2.33	
2.39	2.45	2.46	
2.47	2.42	2.34	
2.9	2.36	2.29	
2.99	2.31	2.29	
3.0	2.18	2.12	
3.0	2.26	2.37	
3.0	2.33	2.44	
3.0	2.35	2.47	
3.0	2.33	2.35	
3.0	2.3	2.33	
3.0	2.25	2.51	
3.0	2.35	2.41	
3.0	2.44	2.32	
3.0	2.4	2.41	
3.0	2.43	2.23	
3.0	2.23	2.34	
3.0	2.47	2.39	
3.0	2.37	2.54	
3.0	2.35	2.32	
3.0	2.64	2.47	
3.0	2.48	2.42	
3.0	2.36	2.47	
3.0	2.52	2.27	
3.0	2.39	2.4	
3.0	2.36	2.42	
3.0	2.59	2.24	
3.0	2.33	2.57	
3.0	2.4	2.69	
3.0	2.38	2.15	
3.0	2.41	2.38	
3.0	2.49	2.4	
3.0	2.33	2.36	
3.0	2.3	2.18	
3.0	2.55	2.34	
3.0	2.28	2.22	
3.0	2.27	2.28	
3.0	2.34	2.22	
3.0	2.49	2.3	
3.0	2.2	2.29	
3.0	2.64	2.36	
3.0	2.91	2.3	
3.0	3.0	2.36	
3.0	3.0	2.33	
3.0	3.0	2.37	
3.0	3.0	2.24	
3.0	3.0	2.19	
3.0	3.0	2.3	
3.0	3.0	2.26	
3.0	3.0	2.23	
3.0	3.0	2.33	
3.0	3.0	2.15	
3.0	3.0	2.19	
3.0	3.0	2.29	
3.0	3.0	2.29	
3.0	3.0	2.35	
3.0	3.0	2.31	
3.0	3.0	2.26	
3.0	3.0	2.43	
3.0	3.0	2.26	
3.0	3.0	2.14	
3.0	3.0	2.37	
3.0	3.0	2.18	
3.0	3.0	2.42	
3.0	3.0	2.55	
3.0	3.0	2.23	
3.0	3.0	2.27	
3.0	3.0	2.33	
3.0	3.0	2.25	
3.0	3.0	2.36	
3.0	3.0	2.25	
3.0	3.0	2.35	
3.0	3.0	2.24	
3.0	3.0	2.94	
3.0	3.0	2.98	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
3.0	3.0	3.0	
